Make,FuelType,WheelBase,Length,Width,Height,CurbWeight,Cylinder,EngineSize,Bore,Stroke,CompressionRatio,HorsePower,PeakRPM,MPG,Price
volvo,gas,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,37,12.95
volvo,gas,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,38,15.985
volvo,gas,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,28,18.42
dodge,gas,103.3,174.6,64.6,59.8,2535,four,122,3.34,3.46,8.5,88,5000,39,8.921
mercedes-benz,diesel,110,190.9,70.3,56.5,3515,five,183,3.58,3.64,21.5,123,4350,34.5,25.552
mercedes-benz,diesel,110,190.9,70.3,58.7,3750,five,183,3.58,3.64,21.5,123,4350,34.5,28.248
mercedes-benz,diesel,115.6,202.6,71.7,56.3,3770,five,183,3.58,3.64,21.5,123,4350,34.5,31.6
mercedes-benz,gas,115.6,202.6,71.7,56.5,3740,eight,234,3.46,3.1,8.3,155,4750,25,34.184
mitsubishi,gas,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,38,9.279
plymouth,gas,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,39,8.921
toyota,gas,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,46,8.948
toyota,diesel,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,46.5,10.698
toyota,gas,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,43,9.988
toyota,gas,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,43,10.898
toyota,gas,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,43,11.248
toyota,gas,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,32,15.69
toyota,gas,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,31,15.75
volvo,gas,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,37,13.415
volvo,gas,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,38,16.515
volvo,gas,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,28,18.95
volvo,gas,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,37,16.845
volvo,gas,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,31.5,19.045
volvo,gas,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,29.5,21.49
volvo,diesel,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,39.5,22.47
volvo,gas,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,31.5,22.63
audi,gas,99.5,178.2,67.9,52,3053,five,131,3.13,3.4,7,160,5500,27,17.5
bmw,gas,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,37.5,16.93
bmw,gas,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9,121,4250,35,20.97
bmw,gas,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9,121,4250,35,21.11
bmw,gas,103.5,189,66.9,55.7,3230,six,209,3.62,3.39,8,182,5400,27,30.76
bmw,gas,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8,182,5400,27,41.32
bmw,gas,110,197,70.9,56.3,3505,six,209,3.62,3.39,8,182,5400,25,36.88
chevrolet,gas,94.5,158.8,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,59.5,6.58
honda,gas,96.5,163.4,64,54.5,2010,four,92,2.91,3.41,9.2,76,6000,47,7.3
honda,gas,96.5,157.1,63.9,58.3,2024,four,92,2.92,3.41,9.2,76,6000,47,7.3
honda,gas,96.5,167.5,65.2,53.3,2236,four,110,3.15,3.58,9,86,5800,43.5,7.9
honda,gas,96.5,167.5,65.2,53.3,2289,four,110,3.15,3.58,9,86,5800,43.5,9.1
honda,gas,96.5,175.4,65.2,54.1,2304,four,110,3.15,3.58,9,86,5800,43.5,8.85
honda,gas,96.5,175.4,62.5,54.1,2372,four,110,3.15,3.58,9,86,5800,43.5,10.3
honda,gas,96.5,175.4,65.2,54.1,2465,four,110,3.15,3.58,9,101,5800,38,12.95
isuzu,gas,94.3,170.7,61.8,53.5,2337,four,111,3.31,3.23,8.5,78,4800,38.5,6.79
isuzu,gas,94.5,155.9,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,59.5,6.54
jaguar,gas,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,24.5,32.25
jaguar,gas,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,24.5,35.55
jaguar,gas,102,191.7,70.6,47.8,3950,twelve,326,3.54,2.76,11.5,262,5000,21.5,36
mazda,gas,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,42,8.5
mazda,gas,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,42,10.25
mazda,diesel,98.8,177.8,66.5,55.5,2443,four,122,3.39,3.39,22.7,64,4650,57,10.8
mazda,gas,98.8,177.8,66.5,55.5,2425,four,122,3.39,3.39,8.6,84,4800,42,11.25
mazda,gas,104.9,175,66.1,54.4,2670,four,140,3.76,3.16,8,120,5000,32.5,18.28
mazda,diesel,104.9,175,66.1,54.4,2700,four,134,3.43,3.64,22,72,4200,50.5,18.34
mercedes-benz,diesel,106.7,187.5,70.3,54.9,3495,five,183,3.58,3.64,21.5,123,4350,34.5,28.18
mercedes-benz,gas,120.9,208.1,71.7,56.7,3900,eight,308,3.8,3.35,8,184,4500,22,40.96
nissan,gas,97.2,173.4,65.2,54.7,2324,four,120,3.33,3.47,8.5,97,5200,44,8.95
nissan,gas,97.2,173.4,65.2,54.7,2302,four,120,3.33,3.47,8.5,97,5200,44,9.55
nissan,gas,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9,152,5200,28,13.5
nissan,gas,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9,152,5200,28,14.4
nissan,gas,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9,152,5200,31.5,13.5
peugot,gas,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,31,11.9
peugot,diesel,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21,95,4150,44.5,13.2
peugot,gas,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,31,12.44
peugot,diesel,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21,95,4150,37.5,13.86
peugot,gas,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,31,15.58
peugot,diesel,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,44.5,16.9
peugot,gas,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,31,16.7
peugot,diesel,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21,95,4150,37.5,17.08
peugot,gas,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,31,16.63
peugot,diesel,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,44.5,17.95
peugot,gas,108,186.7,68.3,56,3130,four,134,3.61,3.21,7,142,5600,30,18.15
renault,gas,96.1,181.5,66.5,55.2,2579,four,132,3.46,3.9,8.7,,,38.5,9.3
subaru,gas,97.2,172,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,50.5,7.13
subaru,gas,97.2,172,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,44.5,7.78
subaru,gas,97.2,172,65.4,52.5,2340,four,108,3.62,2.64,9,94,5200,42,9.96
subaru,gas,97,172,65.4,54.3,2385,four,108,3.62,2.64,9,82,4800,36.5,9.23
subaru,gas,97,172,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,38.5,11.26
subaru,gas,97,173.5,65.4,53,2290,four,108,3.62,2.64,9,82,4800,44,7.46
subaru,gas,97,173.5,65.4,53,2455,four,108,3.62,2.64,9,94,5200,40.5,10.2
subaru,gas,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9,82,4800,37.5,8.01
subaru,gas,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,34.5,11.69
toyota,gas,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9,62,4800,49.5,6.92
toyota,gas,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9,62,4800,43,7.9
toyota,gas,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9,62,4800,43,8.78
toyota,gas,95.7,166.3,64.4,53,2081,four,98,3.19,3.03,9,70,4800,48.5,6.94
toyota,gas,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9,70,4800,48.5,7.2
toyota,diesel,95.7,166.3,64.4,53,2275,four,110,3.27,3.35,22.5,56,4500,52,7.9
toyota,diesel,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,61.5,7.79
toyota,gas,95.7,166.3,64.4,53,2094,four,98,3.19,3.03,9,70,4800,61.5,7.74
toyota,gas,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9,70,4800,45,8.36
toyota,gas,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9,70,4800,45,9.26
volkswagen,gas,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,31,13.3
volkswagen,diesel,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,52,13.85
volkswagen,gas,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,40.5,12.29
alfa,gas,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9,154,5000,32,16.5
audi,gas,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,31.5,17.71
audi,gas,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,31.5,18.92
audi,gas,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,27,23.88
bmw,gas,103.5,189,66.9,55.7,3055,six,164,3.31,3.19,9,121,4250,32.5,24.57
chevrolet,gas,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,59.5,6.3
dodge,gas,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.41,68,5500,57.5,5.57
dodge,gas,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.4,68,5500,50,6.38
dodge,gas,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,39,7.96
dodge,gas,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,50,6.23
dodge,gas,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,50,6.69
dodge,gas,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,50,7.61
dodge,gas,93.7,157.3,63.8,50.6,2191,four,98,3.03,3.39,7.6,102,5500,39,8.56
honda,gas,93.7,150,64,52.6,1837,four,79,2.91,3.07,10.1,60,5500,59,5.4
honda,gas,93.7,150,64,52.6,1940,four,92,2.91,3.41,9.2,76,6000,47,6.53
honda,gas,93.7,150,64,52.6,1956,four,92,2.91,3.41,9.2,76,6000,47,7.13
honda,gas,96.5,169.1,66,51,2293,four,110,3.15,3.58,9.1,100,5500,40.5,10.35
isuzu,gas,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,59.5,8.37
mazda,gas,93.1,159.1,64.2,54.1,1890,four,91,3.03,3.15,9,68,5000,45.5,5.2
mazda,gas,93.1,159.1,64.2,54.1,1900,four,91,3.03,3.15,9,68,5000,50,6.1
mazda,gas,93.1,159.1,64.2,54.1,1905,four,91,3.03,3.15,9,68,5000,50,6.8
mazda,gas,93.1,166.8,64.2,54.1,1945,four,91,3.03,3.15,9,68,5000,50,6.7
mazda,gas,93.1,166.8,64.2,54.1,1950,four,91,3.08,3.15,9,68,5000,50,7.4
mazda,gas,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,42,8.85
mazda,gas,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,42,10.6
mercedes-benz,gas,112,199.2,72,55.4,3715,eight,304,3.8,3.35,8,184,4500,22,45.4
mercury,gas,102.7,178.4,68,54.8,2910,four,140,3.78,3.12,8,175,5000,31,16.5
mitsubishi,gas,93,157.3,63.8,50.8,2145,four,98,3.03,3.39,7.6,102,5500,39,7.69
mitsubishi,gas,96.3,172.4,65.4,51.6,2365,four,122,3.35,3.46,8.5,88,5000,41,6.99
mitsubishi,gas,96.3,172.4,65.4,51.6,2405,four,122,3.35,3.46,8.5,88,5000,41,8.19
mitsubishi,gas,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,38,9.28
nissan,gas,94.5,165.3,63.8,54.5,1889,four,97,3.15,3.29,9.4,69,5200,49.5,5.5
nissan,diesel,94.5,165.3,63.8,54.5,2017,four,103,2.99,3.47,21.9,55,4800,70,7.1
nissan,gas,94.5,165.3,63.8,54.5,1918,four,97,3.15,3.29,9.4,69,5200,49.5,6.65
nissan,gas,94.5,165.3,63.8,54.5,1938,four,97,3.15,3.29,9.4,69,5200,49.5,6.85
nissan,gas,94.5,170.2,63.8,53.5,2024,four,97,3.15,3.29,9.4,69,5200,49.5,7.35
nissan,gas,94.5,165.3,63.8,54.5,1951,four,97,3.15,3.29,9.4,69,5200,49.5,7.3
nissan,gas,94.5,165.6,63.8,53.3,2028,four,97,3.15,3.29,9.4,69,5200,49.5,7.8
nissan,gas,94.5,165.3,63.8,54.5,1971,four,97,3.15,3.29,9.4,69,5200,49.5,7.5
nissan,gas,94.5,170.2,63.8,53.5,2037,four,97,3.15,3.29,9.4,69,5200,49.5,8
nissan,gas,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9,160,5200,31.5,18.4
plymouth,gas,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,57.5,5.57
plymouth,gas,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,39,7.96
plymouth,gas,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,50,6.23
plymouth,gas,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,50,6.69
plymouth,gas,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,50,7.61
porsche,gas,98.4,175.7,72.3,50.5,3366,eight,203,3.94,3.11,10,288,5750,31,25.68
toyota,gas,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9,62,4800,54.5,5.35
toyota,gas,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9,62,4800,50,6.34
toyota,gas,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9,62,4800,50,6.49
toyota,gas,94.5,168.7,64,52.6,2169,four,98,3.19,3.03,9,70,4800,46,8.06
toyota,gas,94.5,168.7,64,52.6,2204,four,98,3.19,3.03,9,70,4800,46,8.24
toyota,gas,94.5,168.7,64,52.6,2265,four,98,3.24,3.08,9.4,112,6600,40.5,9.3
toyota,gas,94.5,168.7,64,52.6,2300,four,98,3.24,3.08,9.4,112,6600,40.5,9.54
audi,gas,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10,102,5500,39,13.95
audi,gas,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8,115,5500,29,17.45
audi,gas,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,31.5,15.25
bmw,gas,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,37.5,16.43
chevrolet,gas,88.4,141.1,60.3,53.2,1488,three,61,2.91,3.03,9.5,48,5100,73.5,5.15
honda,gas,86.6,144.6,63.9,50.8,1713,four,92,2.91,3.41,9.6,58,4800,76,6.48
honda,gas,86.6,144.6,63.9,50.8,1819,four,92,2.91,3.41,9.2,76,6000,50,6.86
isuzu,gas,96,172.6,65.2,51.4,2734,four,119,3.43,3.23,9.2,90,5000,38.5,11.05
mitsubishi,gas,93.7,157.3,64.4,50.8,1918,four,92,2.97,3.23,9.4,68,5500,57.5,5.39
